Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
34,12,0,0,34,7,12,0,46,10,2018,R
26.3,2,20,0,46.3,12,0,0,46.3,11,2018,R
26.8,3,20,1.2,48,13,0,0,48,12,2018,R
37.8,17,0,10.4,48.2,14,0,0,48.2,13,2018,R
36.8,16,0,0,36.8,10,4,9,49.8,14,2018,R
32.3,7T,20,0,52.3,15T,0,0,52.3,15,2018,R
29.3,4,40,0,69.3,18,8,0,77.3,16,2018,R
32.3,7T,20,0,52.3,15T,8,24,84.3,17,2018,R
39,19,20,1.2,60.2,17,12,19,91.2,18,2018,R
36,14,60,0,96,19,0,0,96,19,2018,R
27,3,0,0,27,1,0,0,27,1,2017,R
29.3,6,0,0,29.3,4,0,0,29.3,2,2017,R
30,7,0,0,30,5,0,0,30,3,2017,R
30.8,8T,0,0,30.8,6T,0,0,30.8,4,2017,R
30.8,8T,0,0,30.8,6T,0,0,30.8,5,2017,R
31.3,11,0,0,31.3,9,0,0,31.3,6,2017,R
31.8,12T,0,0,31.8,10T,0,0,31.8,7,2017,R
32,14T,0,0,32,12T,0,0,32,8,2017,R
32.5,16T,0,0,32.5,14T,0,0,32.5,9,2017,R
32.5,16T,0,0,32.5,14T,0,0,32.5,10,2017,R
28.8,5,0,0,28.8,3,4,0,32.8,11,2017,R
31.8,12T,0,0,31.8,10T,4,0,35.8,12,2017,R
28.5,4,0,0,28.5,2,8,0,36.5,13,2017,R
33.3,18,0,0,33.3,16,4,0,37.3,14,2017,R
37.5,21,0,0,37.5,17,0,0,37.5,15,2017,R
38.8,25,0,0,38.8,21,0,0,38.8,16,2017,R
39.8,26T,0,0,39.8,22,0,0,39.8,17,2017,R
37.8,22,0,0,37.8,18,4,0,41.8,18,2017,R
41,28,0,0,41,23,0,1,42,19,2017,R
42,29,0,0,42,24,0,0,42,20,2017,R
38.5,24,0,0,38.5,20,4,0,42.5,21,2017,R
32,14T,0,0,32,12T,12,0,44,22,2017,R
46,30,0,0,46,26T,0,0,46,23,2017,R
38.3,23,0,0,38.3,19,8,0,46.3,24,2017,R
39.8,26T,0,4.4,44.2,25,4,0,48.2,25,2017,R
26,2,20,0,46,26T,4,0,50,26,2017,R
30.8,8T,0,0,30.8,6T,---,---,---,W,2017,R
25.5,1,E,---,---,E,---,---,---,E,2017,R
34.3,19,E,---,---,E,---,---,---,E,2017,R
36.8,20,20,---,---,RF,---,---,---,RF,2017,R
19.8,1,0,0,19.8,1,0,0,19.8,1,2017,Y
20,2,0,0,20,2,0,0,20,2,2017,Y
25,3,0,0,25,3,0,0,25,3,2017,Y
25.5,4,0,0,25.5,4,0,0,25.5,4,2017,Y
25.8,5,0,2,27.8,5,0,0,27.8,5,2017,Y
29.3,10,0,0,29.3,8,0,0,29.3,6,2017,Y
29.5,11,0,0,29.5,9,0,0,29.5,7,2017,Y
26.5,6,0,3.2,29.7,10,0,0,29.7,8,2017,Y
30,12,0,0,30,11,0,0,30,9,2017,Y
30.5,15,0,0,30.5,13,0,0,30.5,10,2017,Y
31,18T,0,0,31,14,0,0,31,11,2017,Y
31.5,20,0,0,31.5,15,0,0,31.5,12,2017,Y
32.3,22,0,0,32.3,16,0,0,32.3,13,2017,Y
28.8,8,0,0,28.8,6,4,0,32.8,14,2017,Y
29,9,0,0,29,7,4,0,33,15,2017,Y
33,24T,0,0,33,18,0,0,33,16,2017,Y
